tenure_months,monthly_charges,total_charges,support_tickets,last_login_days,monthly_usage_gb,num_products,contract_type_Month-to-Month,contract_type_One-Year,contract_type_Two-Year,payment_method_Bank Transfer,payment_method_Credit Card,payment_method_Electronic Check,payment_method_Mailed Check,paperless_billing_No,paperless_billing_Yes,online_security_No,online_security_Yes,tech_support_No,tech_support_Yes
-0.30680763308425335,-0.06916625397127847,-0.27625216628630717,1.1792006731487863,-0.7259058616639729,-0.9528612898138387,-0.10361856120508274,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.6001746244896566,0.9909100681638183,1.0358431670943502,0.3777048885106987,0.27987592658919946,1.9679920224317264,2.0016474442315153,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
-0.6886948994311628,-1.0661189387769694,-0.7827035404996147,-0.42379089612738885,-0.9087752777100041,-0.2349367600103452,-1.1562515639233817,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1.55489279035693,-1.8125809992596225,-0.054932834205302726,-1.2252866807654765,-1.0002099857330198,-0.11592945056544152,-1.1562515639233817,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.1252696157166573,1.9678235030236664,2.2875169024913986,0.3777048885106987,-0.7259058616639729,-0.7911665758941329,2.0016474442315153,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
-0.8319026243112538,1.931752853121149,-0.4683291031222919,1.980696457786874,-1.0002099857330198,-1.9256166887547888,0.9490144415132162,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
-0.9273744408979813,-0.27506954716481563,-0.8509878973255407,-0.42379089612738885,-1.0002099857330198,1.534650189126915,-0.10361856120508274,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
-0.020392183324071236,-1.1898613071925501,-0.41515184474621,0.3777048885106987,0.005571802520152484,0.39114517228675566,-1.1562515639233817,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
-0.8319026243112538,-0.028586772830946204,-0.7336445464782811,0.3777048885106987,-1.0002099857330198,1.0224013354292871,-0.10361856120508274,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
-0.6409589911377991,-0.44289826546125116,-0.6464950050834088,-1.2252866807654765,-0.5430364456179415,-1.726408801205711,-0.10361856120508274,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
-0.9751103491913449,-0.14331147877089756,-0.8424863318011345,-1.2252866807654765,-0.45160173759492583,1.0831985478630963,-0.10361856120508274,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
-0.4977512662577081,-0.9153235829345007,-0.611496553883815,-1.2252866807654765,1.3770924228653874,-1.0188327330930786,-1.1562515639233817,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.8890441484104759,0.5149778819500462,2.148352187216586,-0.42379089612738885,-1.0002099857330198,-0.1650846435970322,0.9490144415132162,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
-1.0228462574847086,-1.1247337448685604,-0.9834247549911107,0.3777048885106987,4.485872495647921,0.07422353300413234,-1.1562515639233817,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
